GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Legohuset,DBAccess,Connector,18,0,2,0,7,0,4,0,3,0
Legohuset,DBAccess,UserMapper,106,0,2,0,31,0,4,0,3,0
Legohuset,FunctionLayer,LoginSampleException,4,0,0,0,2,0,1,0,1,0
Legohuset,FunctionLayer,LogicFacade,18,0,0,0,5,0,3,0,3,0
Legohuset,FunctionLayer,house,43,0,0,0,18,0,9,0,9,0
Legohuset,FunctionLayer,User,40,0,0,0,17,0,9,0,9,0
Legohuset,PresentationLayer,Register,50,0,2,0,11,0,3,0,2,0
Legohuset,PresentationLayer,FrontController,55,0,0,0,15,0,5,0,5,0
Legohuset,PresentationLayer,calculate,56,0,0,0,11,0,3,0,3,0
Legohuset,PresentationLayer,UnknownCommand,10,0,0,0,3,0,2,0,2,0
Legohuset,PresentationLayer,Command,44,0,2,0,10,0,4,0,3,0
Legohuset,PresentationLayer,Login,37,0,0,0,8,0,2,0,2,0
